"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value",
"Taxol","PC-9","72","11.11","Cell cycle: percent G2-M arrested","93.33",
"Taxol","FU97","48","11.11","Cell cycle: percent interphase","93.29",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent G2-M arrested","93.25",
"Taxol","KYSE-180","24","33.33","Cell cycle: percent G2-M arrested","93.25",
"Taxol","Calu-1","48","3.7","Cell cycle: percent interphase","93.25",
"Taxol","FU97","48","1.23","Cell cycle: percent interphase","93.23",
"Taxol","FU97","48","3.7","Cell cycle: percent interphase","93.21",
"Taxol","Calu-1","24","0.01","Cell cycle: percent interphase","93.21",
"Taxol","KATO III","24","1.23","Cell cycle: percent G2-M arrested","93.18",
"Taxol","IA-LM","24","1.23","Cell cycle: percent G2-M arrested","93.13",
"Taxol","Calu-1","48","3.7","Cell cycle: percent interphase","93.12",
"Taxol","Calu-1","72","0.02","Cell cycle: percent interphase","93.03",
"Taxol","Calu-1","72","11.11","Cell cycle: percent interphase","92.9",
"Taxol","NCI-H810","72","11.11","Cell cycle: percent G2-M arrested","92.86",
"Taxol","Calu-1","72","0.14","Cell cycle: percent interphase","92.81",
"Taxol","KMRC-20","72","0.01","Cell cycle: percent interphase","92.75",
"Taxol","Calu-1","72","0.41","Cell cycle: percent interphase","92.74",
"Taxol","Calu-1","48","11.11","Cell cycle: percent interphase","92.73",
"Taxol","NCI-H810","48","11.11","Cell cycle: percent G2-M arrested","92.7",
"Taxol","IA-LM","24","0.02","Cell cycle: percent G2-M arrested","92.66",
"Taxol","FU97","24","0.01","Cell cycle: percent interphase","92.49",
"Taxol","FU97","48","0.02","Cell cycle: percent interphase","92.4",
"Taxol","A375.S2","24","0.02","Cell cycle: percent interphase","92.4",
"Taxol","KYSE-140","24","11.11","Cell cycle: percent interphase","92.32",
"Taxol","Calu-1","48","0.41","Cell cycle: percent interphase","92.32",
"Taxol","Calu-1","24","0.01","Cell cycle: percent interphase","92.32",
"Taxol","IST-MEL1","24","0.41","Cell cycle: percent G2-M arrested","92.31",
"Taxol","AGS","48","0.01","Cell cycle: percent interphase","92.27",
"Taxol","KMRC-20","24","0.01","Cell cycle: percent interphase","92.25",
"Taxol","AGS","48","0.01","Cell cycle: percent interphase","92.25",
"Taxol","FU97","24","0.02","Cell cycle: percent interphase","92.23",
"Taxol","NCI-H810","72","3.7","Cell cycle: percent G2-M arrested","92.22",
"Taxol","A375.S2","24","0.02","Cell cycle: percent interphase","92.19",
"Taxol","FU97","48","0.14","Cell cycle: percent interphase","92.16",
"Taxol","KYSE-140","24","11.11","Cell cycle: percent interphase","92.1",
"Taxol","Calu-1","72","0.02","Cell cycle: percent interphase","92.07",
"Taxol","FU97","72","0.01","Cell cycle: percent interphase","92.04",
"Taxol","Calu-1","72","3.7","Cell cycle: percent interphase","92.02",
"Taxol","Ishikawa","72","0.01","Cell cycle: percent interphase","91.96",
"Taxol","KMRC-20","48","0.05","Cell cycle: percent interphase","91.94",
"Taxol","NCI-H810","72","3.7","Cell cycle: percent G2-M arrested","91.92",
"Taxol","KYSE-180","24","0.02","Cell cycle: percent G2-M arrested","91.89",
"Taxol","PC-9","24","0.01","Cell cycle: percent non-arrested","91.71",
"Taxol","IST-MEL1","24","0.01","Cell cycle: percent G2-M arrested","91.67",
"Taxol","HLF","48","0.01","Cell cycle: percent interphase","91.63",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent non-arrested","91.59",
"Taxol","Ishikawa","48","0.01","Cell cycle: percent interphase","91.57",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent non-arrested","91.55",
"Taxol","5637","24","1.23","Cell cycle: percent non-arrested","91.49",
"Taxol","PC-9","24","0.01","Cell cycle: percent interphase","91.36",
"Taxol","NCI-H810","48","0.14","Cell cycle: percent G2-M arrested","91.3",
"Taxol","KYSE-180","24","0.02","Cell cycle: percent G2-M arrested","91.27",
"Taxol","PC-9","24","0.01","Cell cycle: percent non-arrested","91.23",
"Taxol","LNZTA3WT4","24","0.01","Cell cycle: percent interphase","91.19",
"Taxol","Ishikawa (Heraklio) 02 ER-","72","0.01","Cell cycle: percent interphase","91.13",
"Taxol","Calu-1","48","11.11","Cell cycle: percent interphase","91.12",
"Taxol","A375.S2","48","0.02","Cell cycle: percent interphase","91.1",
"Taxol","KYSE-180","24","11.11","Cell cycle: percent G2-M arrested","91.03",
"Taxol","COLO-800","24","1.23","Cell cycle: percent non-arrested","90.98",
"Taxol","KMRC-20","48","0.14","Cell cycle: percent interphase","90.98",
"Taxol","COLO-800","24","1.23","Cell cycle: percent interphase","90.95",
"Taxol","PC-9","24","0.01","Cell cycle: percent interphase","90.92",
"Taxol","NCI-H810","72","0.02","Cell cycle: percent G2-M arrested","90.91",
"Taxol","NCI-H810","48","0.05","Cell cycle: percent G2-M arrested","90.91",
"Taxol","PC-9","24","33.33","Cell cycle: percent G2-M arrested","90.91",
"Taxol","PC-9","72","33.33","Cell cycle: percent G2-M arrested","90.91",
"Taxol","KMRC-20","48","0.05","Cell cycle: percent interphase","90.89",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent interphase","90.87",
"Taxol","FU97","24","0.14","Cell cycle: percent interphase","90.8",
"Taxol","NCI-H810","24","0.05","Cell cycle: percent interphase","90.79",
"Taxol","HLF","24","0.05","Cell cycle: percent interphase","90.76",
"Taxol","FU97","24","0.41","Cell cycle: percent interphase","90.76",
"Taxol","COLO-800","24","1.23","Cell cycle: percent interphase","90.71",
